episode_id,number_overall,number_season,episode_title,directed_by,written_by
s01e01,1,1,Winter is Coming,Tim Van Patten,David Benioff & D. B. Weiss
s01e02,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss
s01e03,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss
s01e04,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman
s01e05,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss
s01e06,6,6,A Golden Crown,Daniel Minahan,
s01e07,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss
s01e08,8,8,The Pointy End,Daniel Minahan,George R. R. Martin
s01e09,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss
s01e10,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss
s02e01,11,1,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss
s02e02,12,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss
s02e03,13,3,What is Dead May Never Die,Alik Sakharov,Bryan Cogman
s02e04,14,4,Garden of Bones,David Petrarca,Vanessa Taylor
s02e05,15,5,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss
s02e06,16,6,The Old Gods and the New,David Nutter,Vanessa Taylor
s02e07,17,7,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss
s02e08,18,8,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss
s02e09,19,9,Blackwater,Neil Marshall,George R. R. Martin
s02e10,20,10,Valar Moghulis,Alan Taylor,David Benioff & D. B. Weiss
